"","zip_code","first_dose","second_dose","single_dose","atleast_one_dose","fully_vaccinated","todaysdate"
"194",26705,222,141,2,224,143,2022-04-26
"195",20166,209,128,13,222,141,2022-04-26
"196",23395,153,113,28,181,141,2022-04-26
"197",19810,177,131,9,186,140,2022-04-26
"198",19311,176,129,8,184,137,2022-04-26
"199",17238,180,122,14,194,136,2022-04-26
"200",19943,152,110,22,174,132,2022-04-26
"201",11220,186,128,2,188,130,2022-04-26
"202",20124,160,121,9,169,130,2022-04-26
"203",17601,162,115,13,175,128,2022-04-26
"204",15535,139,103,21,160,124,2022-04-26
"205",17257,139,108,16,155,124,2022-04-26
"206",20132,157,104,20,177,124,2022-04-26
"207",20112,164,109,14,178,123,2022-04-26
"208",19934,127,94,24,151,118,2022-04-26
"209",19804,129,105,12,141,117,2022-04-26
"210",20136,153,111,5,158,116,2022-04-26
"211",23421,162,108,8,170,116,2022-04-26
"212",19104,175,108,7,182,115,2022-04-26
"213",17315,136,110,4,140,114,2022-04-26
"214",17352,110,90,22,132,112,2022-04-26
"215",22026,176,100,12,188,112,2022-04-26
"216",19806,153,102,9,162,111,2022-04-26
"217",23442,132,97,14,146,111,2022-04-26
"218",26767,164,96,15,179,111,2022-04-26
"219",20169,143,98,12,155,110,2022-04-26
"220",99664,149,108,2,151,110,2022-04-26
"221",17214,131,88,20,151,108,2022-04-26
"222",17050,133,92,13,146,105,2022-04-26
"223",19938,105,86,19,124,105,2022-04-26
"224",22602,124,89,13,137,102,2022-04-26
"225",22556,141,91,10,151,101,2022-04-26
"226",22903,144,89,12,156,101,2022-04-26
"227",19320,130,89,9,139,98,2022-04-26
"228",11111,99,89,7,106,96,2022-04-26
"229",26716,120,87,6,126,93,2022-04-26
"230",19962,105,85,7,112,92,2022-04-26
"231",97818,115,89,3,118,92,2022-04-26
"232",17407,92,80,11,103,91,2022-04-26
"233",20006,133,79,12,145,91,2022-04-26
"234",22025,119,84,7,126,91,2022-04-26
"235",22405,112,78,10,122,88,2022-04-26
"236",23303,132,72,16,148,88,2022-04-26
"237",11355,115,82,5,120,87,2022-04-26
"238",19802,123,83,4,127,87,2022-04-26
"239",22406,108,73,13,121,86,2022-04-26
"240",77077,99,85,1,100,86,2022-04-26
"241",19944,144,74,11,155,85,2022-04-26
"242",22408,113,77,8,121,85,2022-04-26
"243",22601,134,75,8,142,83,2022-04-26
"244",17602,104,75,7,111,82,2022-04-26
"245",19083,107,75,7,114,82,2022-04-26
"246",19801,102,72,10,112,82,2022-04-26
"247",19807,113,74,7,120,81,2022-04-26
"248",19703,118,78,3,121,81,2022-04-26
"249",19063,117,76,5,122,81,2022-04-26
"250",24060,156,77,4,160,81,2022-04-26
"251",17055,93,68,12,105,80,2022-04-26
"252",19087,118,74,6,124,80,2022-04-26
"253",17543,101,77,3,104,80,2022-04-26
"254",25413,98,64,16,114,80,2022-04-26
"255",10002,115,77,2,117,79,2022-04-26
"256",19809,105,73,6,111,79,2022-04-26
"257",22401,115,74,5,120,79,2022-04-26
"258",22801,110,74,5,115,79,2022-04-26
"259",10025,128,72,6,134,78,2022-04-26
"260",16801,115,65,11,126,76,2022-04-26
"261",26501,97,75,1,98,76,2022-04-26
"262",22213,110,73,2,112,75,2022-04-26
"263",32043,120,62,12,132,74,2022-04-26
"264",17563,73,56,16,89,72,2022-04-26
"265",19355,103,66,5,108,71,2022-04-26
"266",23666,115,66,5,120,71,2022-04-26
"267",17112,98,65,5,103,70,2022-04-26
"268",25442,94,63,7,101,70,2022-04-26
"269",19317,84,63,6,90,69,2022-04-26
"270",23220,103,60,8,111,68,2022-04-26
"271",23417,87,55,12,99,67,2022-04-26
"272",26525,102,61,6,108,67,2022-04-26
"273",26763,99,61,6,105,67,2022-04-26
"274",23308,81,57,9,90,66,2022-04-26
"275",17011,95,61,4,99,65,2022-04-26
"276",19103,86,59,6,92,65,2022-04-26
"277",19146,116,59,5,121,64,2022-04-26
"278",19067,104,59,5,109,64,2022-04-26
"279",23451,88,60,4,92,64,2022-04-26
"280",23223,102,57,7,109,64,2022-04-26
"281",17366,71,59,4,75,63,2022-04-26
"282",19147,97,60,3,100,63,2022-04-26
"283",22701,83,60,3,86,63,2022-04-26
"284",19426,83,56,6,89,62,2022-04-26
"285",22630,164,51,11,175,62,2022-04-26
"286",19446,90,57,4,94,61,2022-04-26
"287",22901,93,57,4,97,61,2022-04-26
"288",11373,89,57,3,92,60,2022-04-26
"289",17566,77,52,8,85,60,2022-04-26
"290",23440,77,49,11,88,60,2022-04-26
"291",25420,66,48,12,78,60,2022-04-26
"292",26554,74,56,4,78,60,2022-04-26
"293",88888,47,33,27,74,60,2022-04-26
"294",17353,61,53,6,67,59,2022-04-26
"295",19460,77,57,2,79,59,2022-04-26
"296",19342,84,56,2,86,58,2022-04-26
"297",22172,71,49,9,80,58,2022-04-26
"298",17233,59,44,13,72,57,2022-04-26
"299",19060,66,53,4,70,57,2022-04-26
"300",19960,62,51,6,68,57,2022-04-26
"301",10023,89,47,9,98,56,2022-04-26
"302",17316,56,48,8,64,56,2022-04-26
"303",22655,68,44,12,80,56,2022-04-26
"304",17344,60,45,10,70,55,2022-04-26
"305",19403,71,46,9,80,55,2022-04-26
"306",27519,93,50,5,98,55,2022-04-26
"307",27713,107,54,1,108,55,2022-04-26
"308",20187,78,51,3,81,54,2022-04-26
"309",22603,55,44,10,65,54,2022-04-26
"310",23454,95,50,4,99,54,2022-04-26
"311",17036,73,46,7,80,53,2022-04-26
"312",17111,75,46,7,82,53,2022-04-26
"313",23452,67,38,15,82,53,2022-04-26
"314",23233,99,49,3,102,52,2022-04-26
"315",23059,89,49,3,92,52,2022-04-26
"316",27707,81,47,5,86,52,2022-04-26
"317",11201,98,45,6,104,51,2022-04-26
"318",17237,59,40,11,70,51,2022-04-26
"319",19038,72,47,4,76,51,2022-04-26
"320",22520,57,43,8,65,51,2022-04-26
"321",23234,67,48,3,70,51,2022-04-26
"322",23359,69,46,5,74,51,2022-04-26
"323",11226,88,45,5,93,50,2022-04-26
"324",11238,91,45,5,96,50,2022-04-26
"325",19330,69,48,2,71,50,2022-04-26
"326",23464,69,43,7,76,50,2022-04-26
"327",10003,85,45,4,89,49,2022-04-26
"328",10128,82,47,2,84,49,2022-04-26
"329",11236,66,45,4,70,49,2022-04-26
"330",10010,70,45,4,74,49,2022-04-26
"331",17252,50,39,10,60,49,2022-04-26
"332",23185,75,44,5,80,49,2022-04-26
"333",19002,69,42,6,75,48,2022-04-26
"334",23188,77,44,4,81,48,2022-04-26
"335",26260,96,44,4,100,48,2022-04-26
"336",17013,76,43,4,80,47,2022-04-26
"337",17110,54,43,4,58,47,2022-04-26
"338",17347,51,40,7,58,47,2022-04-26
"339",19014,55,44,3,58,47,2022-04-26
"340",19130,80,41,6,86,47,2022-04-26
"341",20186,59,36,11,70,47,2022-04-26
"342",26757,62,41,6,68,47,2022-04-26
"343",23462,79,44,3,82,47,2022-04-26
"344",23337,61,37,10,71,47,2022-04-26
"345",14850,78,41,5,83,46,2022-04-26
"346",15537,49,41,5,54,46,2022-04-26
"347",19096,67,44,2,69,46,2022-04-26
"348",19143,72,43,3,75,46,2022-04-26
"349",22902,66,41,5,71,46,2022-04-26
"350",23112,66,40,6,72,46,2022-04-26
"351",26739,74,40,6,80,46,2022-04-26
"352",20057,61,38,7,68,45,2022-04-26
"353",22027,63,44,1,64,45,2022-04-26
"354",25422,83,36,9,92,45,2022-04-26
"355",77777,62,44,1,63,45,2022-04-26
"356",17211,52,40,4,56,44,2022-04-26
"357",19953,47,36,8,55,44,2022-04-26
"358",19341,66,42,2,68,44,2022-04-26
"359",27703,71,40,4,75,44,2022-04-26
"360",20052,56,37,6,62,43,2022-04-26
"361",23060,55,38,5,60,43,2022-04-26
"362",26717,72,42,1,73,43,2022-04-26
"363",11377,57,37,5,62,42,2022-04-26
"364",11219,61,40,2,63,42,2022-04-26
"365",17263,51,36,6,57,42,2022-04-26
"366",19064,46,39,3,49,42,2022-04-26
"367",19964,33,25,17,50,42,2022-04-26
"368",23416,62,37,5,67,42,2022-04-26
"369",23321,61,39,3,64,42,2022-04-26
"370",15424,61,38,3,64,41,2022-04-26
"371",16803,78,31,10,88,41,2022-04-26
"372",17401,54,37,4,58,41,2022-04-26
"373",23224,53,38,3,56,41,2022-04-26
"374",23456,71,38,3,74,41,2022-04-26
"375",10019,67,38,2,69,40,2022-04-26
"376",11203,60,37,3,63,40,2022-04-26
"377",19454,57,37,3,60,40,2022-04-26
"378",22060,67,36,4,71,40,2022-04-26
"379",23669,65,38,2,67,40,2022-04-26
"380",23320,74,38,2,76,40,2022-04-26
"381",23803,54,37,3,57,40,2022-04-26
"382",10011,67,33,6,73,39,2022-04-26
"383",10027,78,37,2,80,39,2022-04-26
"384",15562,67,38,1,68,39,2022-04-26
"385",17307,46,38,1,47,39,2022-04-26
"386",20059,65,37,2,67,39,2022-04-26
"387",23117,47,35,4,51,39,2022-04-26
"388",22611,39,34,5,44,39,2022-04-26
"389",23225,68,36,3,71,39,2022-04-26
"390",27514,55,34,5,60,39,2022-04-26
"391",11215,72,33,5,77,38,2022-04-26
"392",10467,57,37,1,58,38,2022-04-26
"393",11221,74,37,1,75,38,2022-04-26
"394",10024,73,34,4,77,38,2022-04-26
"395",15217,62,37,1,63,38,2022-04-26
"396",19026,57,37,1,58,38,2022-04-26
"397",19082,62,34,4,66,38,2022-04-26
"398",11216,59,32,5,64,37,2022-04-26
"399",19128,54,33,4,58,37,2022-04-26
"400",19468,46,34,3,49,37,2022-04-26
"401",19125,55,35,2,57,37,2022-04-26
"402",11230,58,35,1,59,36,2022-04-26
"403",11706,44,30,6,50,36,2022-04-26
"404",19425,59,33,3,62,36,2022-04-26
"405",20197,58,27,9,67,36,2022-04-26
"406",22553,48,34,2,50,36,2022-04-26
"407",23488,41,34,2,43,36,2022-04-26
"408",27705,58,29,7,65,36,2022-04-26
"409",10016,84,32,3,87,35,2022-04-26
"410",17070,45,33,2,47,35,2022-04-26
"411",17522,38,31,4,42,35,2022-04-26
"412",18914,39,34,1,40,35,2022-04-26
"413",19107,59,33,2,61,35,2022-04-26
"414",23301,49,31,4,53,35,2022-04-26
"415",23831,43,32,3,46,35,2022-04-26
"416",23116,57,33,2,59,35,2022-04-26
"417",27410,47,31,4,51,35,2022-04-26
"418",11225,55,32,2,57,34,2022-04-26
"419",10001,58,33,1,59,34,2022-04-26
"420",11354,48,31,3,51,34,2022-04-26
"421",11590,48,31,3,51,34,2022-04-26
"422",17109,41,31,3,44,34,2022-04-26
"423",17022,49,32,2,51,34,2022-04-26
"424",19073,59,30,4,63,34,2022-04-26
"425",19312,46,32,2,48,34,2022-04-26
"426",19061,42,31,3,45,34,2022-04-26
"427",48104,52,30,4,56,34,2022-04-26
"428",11208,57,32,1,58,33,2022-04-26
"429",10021,60,31,2,62,33,2022-04-26
"430",11207,61,32,1,62,33,2022-04-26
"431",11212,44,28,5,49,33,2022-04-26
"432",15213,62,32,1,63,33,2022-04-26
"433",19123,49,32,1,50,33,2022-04-26
"434",17584,37,30,3,40,33,2022-04-26
"435",20141,43,29,4,47,33,2022-04-26
"436",19119,50,29,4,54,33,2022-04-26
"437",22473,39,24,9,48,33,2022-04-26
"438",22546,49,28,5,54,33,2022-04-26
"439",22508,44,29,4,48,33,2022-04-26
"440",23113,45,31,2,47,33,2022-04-26
"441",23410,36,30,3,39,33,2022-04-26
"442",24018,46,32,1,47,33,2022-04-26
"443",23238,43,29,4,47,33,2022-04-26
"444",28277,57,31,2,59,33,2022-04-26
