"","zip_code","first_dose","second_dose","single_dose","atleast_one_dose","fully_vaccinated","todaysdate"
"293",21750,1379,1271,127,1506,1398,2022-04-26
"294",20842,1408,1263,119,1527,1382,2022-04-26
"295",21837,1318,1234,137,1455,1371,2022-04-26
"296",20778,1363,1266,101,1464,1367,2022-04-26
"297",21625,1250,1150,193,1443,1343,2022-04-26
"298",20662,1398,1261,79,1477,1340,2022-04-26
"299",21777,1278,1179,155,1433,1334,2022-04-26
"300",20689,1339,1250,81,1420,1331,2022-04-26
"301",21561,1318,1185,114,1432,1299,2022-04-26
"302",21917,1264,1173,125,1389,1298,2022-04-26
"303",20818,1399,1207,79,1478,1286,2022-04-26
"304",21160,1189,1091,158,1347,1249,2022-04-26
"305",21623,1211,1099,113,1324,1212,2022-04-26
"306",20742,1559,1127,51,1610,1178,2022-04-26
"307",21539,1145,1030,135,1280,1165,2022-04-26
"308",21871,1021,946,170,1191,1116,2022-04-26
"309",21874,1038,965,137,1175,1102,2022-04-26
"310",20675,1121,1013,67,1188,1080,2022-04-26
"311",21562,1068,965,115,1183,1080,2022-04-26
"312",21635,1056,971,99,1155,1070,2022-04-26
"313",20620,929,850,70,999,920,2022-04-26
"314",21654,939,820,100,1039,920,2022-04-26
"315",21520,940,859,59,999,918,2022-04-26
"316",21531,927,837,59,986,896,2022-04-26
"317",21545,832,770,102,934,872,2022-04-26
"318",21541,920,810,54,974,864,2022-04-26
"319",20779,871,798,57,928,855,2022-04-26
"320",21723,840,781,65,905,846,2022-04-26
"321",21838,804,744,100,904,844,2022-04-26
"322",21668,808,736,94,902,830,2022-04-26
"323",20896,845,751,56,901,807,2022-04-26
"324",20621,795,750,52,847,802,2022-04-26
"325",21640,695,623,158,853,781,2022-04-26
"326",21005,892,694,76,968,770,2022-04-26
"327",20684,764,700,56,820,756,2022-04-26
"328",21557,712,659,79,791,738,2022-04-26
"329",20624,752,696,35,787,731,2022-04-26
"330",20892,701,675,27,728,702,2022-04-26
"331",21649,643,549,146,789,695,2022-04-26
"332",21780,636,592,102,738,694,2022-04-26
"333",20609,686,641,49,735,690,2022-04-26
"334",21153,727,652,33,760,685,2022-04-26
"335",20611,699,630,51,750,681,2022-04-26
"336",20692,680,627,51,731,678,2022-04-26
"337",21555,671,609,63,734,672,2022-04-26
"338",21657,641,589,82,723,671,2022-04-26
"339",21767,617,558,106,723,664,2022-04-26
"340",21841,643,596,54,697,650,2022-04-26
"341",20693,666,604,40,706,644,2022-04-26
"342",21733,589,538,100,689,638,2022-04-26
"343",21082,618,586,49,667,635,2022-04-26
"344",21636,541,506,114,655,620,2022-04-26
"345",20658,630,563,54,684,617,2022-04-26
"346",20690,606,570,41,647,611,2022-04-26
"347",20680,600,561,39,639,600,2022-04-26
"348",21530,590,535,64,654,599,2022-04-26
"349",21645,593,531,53,646,584,2022-04-26
"350",21778,567,517,58,625,575,2022-04-26
"351",20868,597,537,34,631,571,2022-04-26
"352",20674,573,507,62,635,569,2022-04-26
"353",21912,569,506,61,630,567,2022-04-26
"354",20617,586,526,34,620,560,2022-04-26
"355",20618,555,517,42,597,559,2022-04-26
"356",20645,579,517,37,616,554,2022-04-26
"357",21779,480,447,84,564,531,2022-04-26
"358",21671,478,436,91,569,527,2022-04-26
"359",21662,523,465,59,582,524,2022-04-26
"360",20758,523,477,34,557,511,2022-04-26
"361",21821,497,445,59,556,504,2022-04-26
"362",21719,463,422,76,539,498,2022-04-26
"363",21856,452,416,63,515,479,2022-04-26
"364",20608,469,433,43,512,476,2022-04-26
"365",21869,441,409,61,502,470,2022-04-26
"366",21711,447,414,55,502,469,2022-04-26
"367",21734,434,407,53,487,460,2022-04-26
"368",21402,530,417,30,560,447,2022-04-26
"369",21405,470,419,26,496,445,2022-04-26
"370",21521,440,408,35,475,443,2022-04-26
"371",21914,417,382,43,460,425,2022-04-26
"372",20625,442,398,26,468,424,2022-04-26
"373",20880,429,391,30,459,421,2022-04-26
"374",21659,364,342,70,434,412,2022-04-26
"375",21634,382,366,23,405,389,2022-04-26
"376",20765,409,365,23,432,388,2022-04-26
"377",20628,380,356,15,395,371,2022-04-26
"378",21861,364,337,33,397,370,2022-04-26
"379",21802,383,343,23,406,366,2022-04-26
"380",21913,388,335,31,419,366,2022-04-26
"381",21872,357,329,25,382,354,2022-04-26
"382",21529,333,307,46,379,353,2022-04-26
"383",20670,395,316,33,428,349,2022-04-26
"384",21071,338,307,33,371,340,2022-04-26
"385",20630,334,293,45,379,338,2022-04-26
"386",21679,327,298,38,365,336,2022-04-26
"387",20701,367,307,28,395,335,2022-04-26
"388",21203,333,308,21,354,329,2022-04-26
"389",20862,330,307,21,351,328,2022-04-26
"390",21677,303,277,39,342,316,2022-04-26
"391",20667,321,292,14,335,306,2022-04-26
"392",21664,277,264,42,319,306,2022-04-26
"393",21612,295,253,50,345,303,2022-04-26
"394",21864,309,289,12,321,301,2022-04-26
"395",20604,317,278,15,332,293,2022-04-26
"396",20632,290,269,18,308,287,2022-04-26
"397",20615,291,262,25,316,287,2022-04-26
"398",20762,327,246,28,355,274,2022-04-26
"399",21622,256,231,41,297,272,2022-04-26
"400",21538,275,251,16,291,267,2022-04-26
"401",20656,257,243,20,277,263,2022-04-26
"402",21829,254,236,23,277,259,2022-04-26
"403",21628,254,231,27,281,258,2022-04-26
"404",21766,262,228,29,291,257,2022-04-26
"405",20626,265,240,10,275,250,2022-04-26
"406",21762,241,228,19,260,247,2022-04-26
"407",21052,231,221,22,253,243,2022-04-26
"408",21835,224,211,31,255,242,2022-04-26
"409",20812,255,220,19,274,239,2022-04-26
"410",21156,223,214,21,244,235,2022-04-26
"411",21051,226,210,23,249,233,2022-04-26
"412",21714,234,214,17,251,231,2022-04-26
"413",21840,223,208,23,246,231,2022-04-26
"414",21814,221,203,28,249,231,2022-04-26
"415",21865,222,203,28,250,231,2022-04-26
"416",20838,230,211,14,244,225,2022-04-26
"417",21676,203,188,33,236,221,2022-04-26
"418",21607,213,190,30,243,220,2022-04-26
"419",20606,226,208,11,237,219,2022-04-26
"420",21077,222,200,11,233,211,2022-04-26
"421",21524,200,186,24,224,210,2022-04-26
"422",21665,197,178,32,229,210,2022-04-26
"423",21610,207,193,15,222,208,2022-04-26
"424",21705,213,189,19,232,208,2022-04-26
"425",20875,207,179,21,228,200,2022-04-26
"426",21843,204,180,20,224,200,2022-04-26
"427",20686,209,193,5,214,198,2022-04-26
"428",21647,179,163,35,214,198,2022-04-26
"429",21667,189,175,23,212,198,2022-04-26
"430",20612,199,190,7,206,197,2022-04-26
